Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
EMP1000,Bob,Davis,25.0,Active,2021-04-02,59768,bob.davis@example.com,(165) 162-3197,Average,True,DevOps,California
EMP1001,Bob,Brown,,Active,2020-07-10,65305,bob.brown@example.com,(189) 847-1390,Excellent,True,Finance,Texas
EMP1002,Alice,Jones,,Pending,2023-12-07,88146,alice.jones@example.com,(559) 636-3211,Good,True,Admin,Nevada
EMP1003,Eva,Davis,25.0,Inactive,2021-11-27,69451,eva.davis@example.com,(347) 649-0784,Good,True,Admin,Nevada
EMP1004,Frank,Williams,25.0,Active,2022-01-05,109325,frank.williams@example.com,(158) 673-4256,Poor,False,Cloud Tech,Florida
EMP1005,Alice,Garcia,40.0,Inactive,2020-06-10,88643,alice.garcia@example.com,(540) 900-3485,Good,False,Sales,Texas
EMP1006,Frank,Jones,,Active,2020-04-03,96288,frank.jones@example.com,(451) 837-6063,Good,False,Admin,Nevada
EMP1007,Bob,Jones,30.0,Inactive,2022-07-17,94498,bob.jones@example.com,(413) 432-7559,Average,True,Cloud Tech,Florida
EMP1008,Frank,Davis,35.0,Inactive,2023-12-08,115566,frank.davis@example.com,(417) 765-6123,Excellent,True,Admin,Nevada
EMP1009,Charlie,Johnson,,Active,2022-08-04,76562,charlie.johnson@example.com,(815) 698-5699,Excellent,True,DevOps,New York
EMP1010,David,Williams,35.0,Active,2024-07-06,72082,david.williams@example.com,(272) 063-4590,Average,False,Cloud Tech,New York
EMP1011,David,Davis,,Active,2023-09-04,84946,david.davis@example.com,(123) 829-6576,Poor,True,DevOps,California
EMP1012,Heidi,Williams,30.0,Active,2024-03-05,89296,heidi.williams@example.com,(242) 954-3164,Excellent,False,HR,New York
EMP1013,Grace,Williams,,Active,2020-10-10,85667,grace.williams@example.com,(266) 930-0892,Good,False,Finance,California
EMP1015,Grace,Jones,40.0,Pending,2021-05-29,117975,grace.jones@example.com,(421) 529-1085,Good,True,Sales,Florida
EMP1016,Alice,Brown,25.0,Inactive,2024-04-23,94867,alice.brown@example.com,(771) 333-4475,Poor,False,DevOps,Illinois
EMP1017,Grace,Garcia,30.0,Pending,2024-11-28,100378,grace.garcia@example.com,(263) 934-3625,Average,True,Finance,Texas
EMP1018,Charlie,Garcia,,Inactive,2024-09-19,94726,charlie.garcia@example.com,(204) 439-7358,Excellent,False,Cloud Tech,Nevada
EMP1019,Charlie,Williams,35.0,Pending,2020-01-02,91926,charlie.williams@example.com,(710) 725-6365,Average,True,Admin,Illinois
EMP1020,Bob,Miller,35.0,Active,2021-05-08,111461,bob.miller@example.com,(941) 180-0536,Excellent,True,HR,New York
EMP1023,David,Garcia,35.0,Pending,2022-02-03,80667,david.garcia@example.com,(757) 215-8623,Excellent,False,Finance,Nevada
EMP1025,David,Miller,25.0,Pending,2020-04-30,66026,david.miller@example.com,(948) 562-5727,Average,False,Cloud Tech,Nevada
EMP1026,Frank,Miller,25.0,Inactive,2023-10-02,83979,frank.miller@example.com,(703) 203-2073,Average,False,Sales,New York
EMP1027,Heidi,Johnson,30.0,Active,2020-07-12,56785,heidi.johnson@example.com,(276) 170-7586,Excellent,True,Finance,Florida
EMP1030,Charlie,Jones,40.0,Inactive,2021-05-26,111214,charlie.jones@example.com,(261) 371-5040,Good,True,Admin,California
EMP1031,Bob,Smith,25.0,Active,2020-07-10,114846,bob.smith@example.com,(659) 152-0176,Excellent,True,DevOps,Illinois
EMP1032,Charlie,Brown,40.0,Active,2024-11-05,78073,charlie.brown@example.com,(749) 050-9758,Average,False,Finance,Florida
EMP1033,Grace,Johnson,25.0,Inactive,2021-08-07,79611,grace.johnson@example.com,(230) 450-1895,Average,False,Finance,California
EMP1034,Heidi,Miller,30.0,Active,2020-04-29,90543,heidi.miller@example.com,(164) 236-1031,Excellent,True,Admin,California
EMP1037,Grace,Smith,25.0,Pending,2023-05-02,52782,grace.smith@example.com,(499) 616-5925,Average,True,Sales,New York
EMP1038,Frank,Smith,35.0,Pending,2021-10-05,66708,frank.smith@example.com,(610) 857-3277,Good,True,Admin,Nevada
EMP1039,Eva,Williams,40.0,Active,2022-07-27,93481,eva.williams@example.com,(814) 761-7421,Poor,False,HR,Texas
EMP1040,Bob,Williams,25.0,Pending,2021-06-27,59272,bob.williams@example.com,(438) 649-0809,Excellent,True,Sales,New York
EMP1042,Alice,Johnson,,Active,2024-12-03,59400,alice.johnson@example.com,(491) 801-7225,Average,True,HR,Nevada
EMP1043,Bob,Garcia,,Inactive,2023-05-23,64744,bob.garcia@example.com,,Excellent,False,Admin,California
EMP1044,Eva,Brown,,Active,2020-07-08,94400,eva.brown@example.com,(523) 219-4167,Good,True,Finance,California
EMP1047,Alice,Davis,35.0,Active,2022-05-30,58921,alice.davis@example.com,,Average,True,Sales,Illinois
EMP1048,Alice,Miller,35.0,Active,2023-09-27,57196,alice.miller@example.com,(683) 147-2759,Excellent,False,Admin,Nevada
EMP1049,Grace,Miller,,Active,2024-11-05,61375,grace.miller@example.com,(122) 777-0792,Excellent,True,DevOps,New York
EMP1050,Charlie,Davis,40.0,Pending,2021-11-11,104767,charlie.davis@example.com,(349) 605-0165,Excellent,False,Cloud Tech,New York
EMP1056,Frank,Garcia,40.0,Active,2022-02-27,112965,frank.garcia@example.com,(729) 341-7222,Good,False,Sales,Illinois
EMP1057,Alice,Smith,40.0,Pending,2023-11-07,100360,alice.smith@example.com,(297) 167-4337,Excellent,False,Cloud Tech,Illinois
EMP1063,Charlie,Smith,25.0,Pending,2023-07-20,93348,charlie.smith@example.com,(125) 521-3759,Poor,False,HR,Illinois
EMP1065,Bob,Johnson,40.0,Pending,2021-02-02,100284,bob.johnson@example.com,(532) 863-2665,Excellent,False,Finance,Nevada
EMP1066,Grace,Brown,30.0,Pending,2020-01-12,112486,grace.brown@example.com,(785) 072-0810,Excellent,True,Admin,Nevada
EMP1073,David,Johnson,25.0,Inactive,2023-01-16,82615,david.johnson@example.com,(810) 548-5100,Average,True,Finance,Florida
EMP1076,David,Brown,40.0,Inactive,2022-09-21,52032,david.brown@example.com,(158) 935-7125,Good,True,Admin,California
EMP1080,Grace,Davis,35.0,Active,2024-03-14,87759,grace.davis@example.com,(288) 137-7027,Average,False,Cloud Tech,Florida
EMP1081,Frank,Brown,30.0,Pending,2020-03-23,102796,frank.brown@example.com,(519) 611-5939,Good,False,DevOps,Texas
EMP1082,David,Jones,25.0,Active,2020-09-15,83149,david.jones@example.com,(821) 545-4469,Poor,True,Sales,New York
EMP1090,Heidi,Garcia,40.0,Pending,2021-07-03,72561,heidi.garcia@example.com,(433) 971-8955,Excellent,True,Finance,Nevada
EMP1093,Eva,Miller,,Pending,2020-01-21,86164,eva.miller@example.com,(241) 246-2094,Average,True,DevOps,California
EMP1096,Frank,Johnson,40.0,Inactive,2022-05-21,119764,frank.johnson@example.com,(886) 140-5785,Average,False,Sales,Illinois
EMP1099,Eva,Jones,25.0,Active,2022-01-09,,eva.jones@example.com,(258) 238-6869,Good,False,Admin,California
EMP1110,Eva,Garcia,30.0,Active,2024-06-11,71533,eva.garcia@example.com,(872) 839-9920,Good,True,Cloud Tech,Texas
EMP1124,Heidi,Jones,,Active,2023-05-12,85577,heidi.jones@example.com,(456) 797-2319,Poor,False,Admin,Florida
EMP1126,Eva,Johnson,,Inactive,2024-11-07,60402,eva.johnson@example.com,(227) 495-4507,Average,False,Sales,Nevada
EMP1136,David,Smith,,Pending,2024-06-11,62604,david.smith@example.com,(961) 122-3385,Good,False,Finance,Illinois
EMP1150,Alice,Williams,,Pending,2021-03-29,95336,alice.williams@example.com,(337) 389-8774,Poor,False,Sales,California
EMP1152,Heidi,Smith,25.0,Pending,2020-10-04,77205,heidi.smith@example.com,(529) 240-7552,Average,False,Cloud Tech,New York
EMP1168,Heidi,Davis,40.0,Active,2021-10-02,79873,heidi.davis@example.com,,Average,False,Finance,Nevada
EMP1173,Heidi,Brown,30.0,Pending,2022-01-22,58042,heidi.brown@example.com,(633) 533-1059,Poor,True,Cloud Tech,California
